epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,362.295,1.49798,1.6405,1.49719,0.49977,0.44,0.42604,0.21162,1.75937,1.82007,1.75077,0.00120491,0.00120491,0.00120491
44,369.708,1.46141,1.63557,1.48157,0.59362,0.39,0.44441,0.2315,1.68179,1.76382,1.71649,0.00119391,0.00119391,0.00119391
45,378.643,1.42801,1.5415,1.43774,0.54297,0.39,0.39817,0.20877,1.72001,1.89562,1.71764,0.0011829,0.0011829,0.0011829
46,386.187,1.44989,1.50785,1.41401,0.63545,0.34863,0.39369,0.20673,1.73423,1.96245,1.73891,0.0011719,0.0011719,0.0011719
47,395.131,1.42318,1.49247,1.43277,0.52632,0.42223,0.41224,0.20814,1.7286,1.84652,1.77125,0.0011609,0.0011609,0.0011609
48,403.471,1.48653,1.63582,1.44079,0.48384,0.405,0.39828,0.20813,1.67379,1.92917,1.67613,0.0011499,0.0011499,0.0011499
49,411.173,1.4374,1.58235,1.4633,0.49614,0.395,0.37348,0.20015,1.68227,1.74228,1.68057,0.00113889,0.00113889,0.00113889
50,419.999,1.40354,1.48935,1.41305,0.50722,0.42,0.41192,0.2109,1.7605,1.88808,1.77888,0.00112789,0.00112789,0.00112789
51,428.63,1.45125,1.49381,1.4473,0.49199,0.385,0.39764,0.21291,1.7166,1.8237,1.72335,0.00111689,0.00111689,0.00111689
52,436.573,1.42445,1.52848,1.43647,0.70425,0.315,0.37717,0.21038,1.72376,1.99375,1.76938,0.00110589,0.00110589,0.00110589
53,445.424,1.37628,1.46566,1.42372,0.44585,0.365,0.33986,0.17909,1.79154,2.27224,1.81294,0.00109489,0.00109489,0.00109489
54,453.138,1.36429,1.39517,1.38737,0.48681,0.42,0.40876,0.23038,1.71809,1.81984,1.73754,0.00108388,0.00108388,0.00108388
55,461.732,1.36318,1.45168,1.39667,0.41961,0.44463,0.40178,0.22469,1.6817,1.7432,1.71632,0.00107288,0.00107288,0.00107288
56,470.29,1.32162,1.32989,1.38453,0.53432,0.395,0.40089,0.21647,1.68742,1.81508,1.72497,0.00106188,0.00106188,0.00106188
57,478.283,1.35719,1.35562,1.38984,0.50712,0.41156,0.39163,0.21698,1.68801,1.79563,1.68989,0.00105088,0.00105088,0.00105088
58,487.003,1.35795,1.37166,1.36938,0.56595,0.325,0.37217,0.21255,1.61715,2.0766,1.66137,0.00103987,0.00103987,0.00103987
59,495.585,1.35889,1.37892,1.39031,0.5402,0.38,0.39532,0.22923,1.62241,1.76572,1.68364,0.00102887,0.00102887,0.00102887
60,503.202,1.36344,1.39184,1.37239,0.4722,0.405,0.36878,0.19683,1.73499,1.94446,1.78511,0.00101787,0.00101787,0.00101787
61,511.909,1.32385,1.3536,1.3527,0.48193,0.405,0.39439,0.21554,1.68226,1.83986,1.73848,0.00100687,0.00100687,0.00100687
62,519.396,1.28412,1.33079,1.33805,0.47485,0.43855,0.42516,0.23089,1.66716,1.83108,1.68758,0.000995866,0.000995866,0.000995866
63,528.354,1.31554,1.32554,1.35431,0.52337,0.385,0.40422,0.2159,1.69883,1.8358,1.7256,0.000984864,0.000984864,0.000984864
64,536.802,1.36212,1.31888,1.3746,0.5106,0.41212,0.40673,0.2163,1.72631,1.78318,1.76423,0.000973861,0.000973861,0.000973861
65,544.333,1.32633,1.3107,1.35395,0.54628,0.37,0.39821,0.21831,1.7333,1.88177,1.77716,0.000962859,0.000962859,0.000962859
66,552.871,1.27739,1.23364,1.3291,0.56592,0.385,0.39551,0.19853,1.78715,1.86876,1.78084,0.000951857,0.000951857,0.000951857
67,561.55,1.24647,1.18278,1.29544,0.46432,0.45,0.3985,0.20528,1.77554,1.8163,1.72894,0.000940855,0.000940855,0.000940855
68,569.236,1.25725,1.22603,1.30727,0.51668,0.425,0.42046,0.22927,1.68915,1.82501,1.70497,0.000929853,0.000929853,0.000929853
69,578.068,1.31419,1.28875,1.35677,0.54039,0.395,0.4017,0.2168,1.67295,1.78713,1.71967,0.00091885,0.00091885,0.00091885
70,585.538,1.29092,1.21325,1.32913,0.44799,0.42,0.40559,0.19952,1.73088,1.89807,1.70683,0.000907848,0.000907848,0.000907848
71,594.835,1.26977,1.21572,1.31745,0.58179,0.395,0.42771,0.22141,1.73583,1.91999,1.79839,0.000896846,0.000896846,0.000896846
72,603.334,1.24608,1.1832,1.30811,0.52181,0.39,0.41141,0.23093,1.68843,1.80327,1.72885,0.000885844,0.000885844,0.000885844
73,610.378,1.24816,1.20457,1.3189,0.46052,0.40548,0.39229,0.22364,1.72914,1.75587,1.75406,0.000874842,0.000874842,0.000874842
74,619.325,1.26739,1.22593,1.33788,0.57,0.43,0.46207,0.24358,1.70287,1.62917,1.72517,0.000863839,0.000863839,0.000863839
75,627.661,1.25576,1.17065,1.29389,0.52656,0.435,0.40448,0.20206,1.82141,1.802,1.79928,0.000852837,0.000852837,0.000852837
76,635.411,1.23318,1.18206,1.30435,0.49443,0.455,0.42948,0.22132,1.69409,1.80431,1.69593,0.000841835,0.000841835,0.000841835
77,644.002,1.20461,1.1285,1.27504,0.56391,0.42026,0.41947,0.2209,1.75958,1.77451,1.76614,0.000830833,0.000830833,0.000830833
78,651.281,1.22349,1.16002,1.26961,0.45894,0.445,0.4148,0.21665,1.73091,1.80011,1.72857,0.000819831,0.000819831,0.000819831
79,660.198,1.19214,1.12555,1.27358,0.5254,0.39,0.38417,0.20236,1.7829,1.90755,1.78821,0.000808828,0.000808828,0.000808828
80,668.676,1.24297,1.14906,1.30227,0.5637,0.385,0.43508,0.23431,1.77739,1.741,1.82924,0.000797826,0.000797826,0.000797826
81,675.726,1.21217,1.09778,1.27848,0.59148,0.355,0.41108,0.21669,1.79246,1.8188,1.7944,0.000786824,0.000786824,0.000786824
82,684.904,1.1773,1.07369,1.25704,0.54835,0.425,0.4421,0.23649,1.70355,1.71656,1.74739,0.000775822,0.000775822,0.000775822
83,692.293,1.16489,1.07056,1.24264,0.4827,0.445,0.44886,0.23155,1.71755,1.77208,1.76848,0.00076482,0.00076482,0.00076482
84,700.765,1.19026,1.11029,1.28572,0.51833,0.41968,0.44346,0.2253,1.73601,1.76641,1.72416,0.000753817,0.000753817,0.000753817
85,709.44,1.21997,1.15225,1.30051,0.59879,0.365,0.42879,0.2355,1.70601,1.73417,1.70328,0.000742815,0.000742815,0.000742815
86,717.004,1.18919,1.08772,1.29121,0.54076,0.365,0.36826,0.19345,1.79017,1.869,1.77479,0.000731813,0.000731813,0.000731813
87,725.298,1.14449,1.04436,1.232,0.40225,0.455,0.37304,0.19377,1.77659,1.875,1.71107,0.000720811,0.000720811,0.000720811
