epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,665.105,1.56839,1.78225,1.67663,0.55062,0.375,0.38617,0.19533,1.70258,2.05671,1.8858,0.00123379,0.00123379,0.00123379
44,680.28,1.58066,1.86878,1.71461,0.58816,0.405,0.42704,0.22476,1.63865,1.9291,1.8441,0.00122347,0.00122347,0.00122347
45,695.655,1.5024,1.6799,1.62347,0.4749,0.365,0.34711,0.17106,1.74224,2.12265,1.91316,0.00121316,0.00121316,0.00121316
46,710.381,1.51949,1.71769,1.60141,0.50412,0.44,0.42434,0.20081,1.70269,1.91017,1.93968,0.00120284,0.00120284,0.00120284
47,725.048,1.47714,1.69132,1.62314,0.43464,0.41514,0.40608,0.20583,1.6786,1.95578,1.88059,0.00119253,0.00119253,0.00119253
48,741.002,1.56434,1.86202,1.67193,0.47356,0.425,0.40609,0.2022,1.65456,1.97591,1.86361,0.00118222,0.00118222,0.00118222
49,755.767,1.53229,1.77311,1.67867,0.57339,0.38,0.39566,0.18875,1.68281,2.06478,1.88365,0.0011719,0.0011719,0.0011719
50,770.77,1.51221,1.72668,1.62744,0.53115,0.38,0.40179,0.19921,1.76549,2.04292,1.9711,0.00116159,0.00116159,0.00116159
51,785.902,1.47693,1.69484,1.59828,0.48552,0.435,0.42499,0.19954,1.68494,1.93729,1.87036,0.00115127,0.00115127,0.00115127
52,800.781,1.47458,1.69043,1.58853,0.56094,0.40245,0.44258,0.22525,1.64252,1.87723,1.80361,0.00114096,0.00114096,0.00114096
53,815.408,1.45093,1.64805,1.61148,0.48578,0.43929,0.40768,0.20642,1.72671,1.95752,1.92082,0.00113064,0.00113064,0.00113064
54,829.435,1.44899,1.63221,1.5731,0.46676,0.4,0.41557,0.18832,1.69697,1.95126,1.87554,0.00112033,0.00112033,0.00112033
55,844.652,1.45136,1.65741,1.60448,0.50144,0.40735,0.43082,0.20485,1.73765,1.94997,1.92886,0.00111001,0.00111001,0.00111001
56,859.301,1.41774,1.58713,1.58263,0.59303,0.35,0.41929,0.23696,1.60591,1.90034,1.81505,0.0010997,0.0010997,0.0010997
57,875.168,1.42073,1.58488,1.58114,0.47068,0.44906,0.43103,0.23431,1.62917,1.87633,1.82769,0.00108938,0.00108938,0.00108938
58,889.871,1.44876,1.58458,1.59114,0.56936,0.425,0.41988,0.1937,1.74129,2.03568,1.9566,0.00107907,0.00107907,0.00107907
59,904.322,1.44643,1.62605,1.59478,0.53277,0.40479,0.43018,0.23299,1.66926,1.86516,1.89552,0.00106876,0.00106876,0.00106876
60,918.371,1.43432,1.58231,1.55368,0.52804,0.39719,0.4167,0.20503,1.78031,2.03131,1.89688,0.00105844,0.00105844,0.00105844
61,933.105,1.39596,1.54377,1.52378,0.47817,0.41236,0.3986,0.19217,1.73836,2.01301,1.85819,0.00104813,0.00104813,0.00104813
62,948.198,1.38766,1.56292,1.53565,0.56204,0.37,0.39827,0.21192,1.74719,1.94262,1.87459,0.00103781,0.00103781,0.00103781
63,962.767,1.42216,1.56866,1.56228,0.62756,0.345,0.38968,0.19639,1.78537,1.96738,1.9613,0.0010275,0.0010275,0.0010275
64,977.494,1.43139,1.5379,1.5753,0.51811,0.40857,0.42664,0.19534,1.82972,1.98097,1.9911,0.00101718,0.00101718,0.00101718
65,993.045,1.39312,1.55953,1.5298,0.51177,0.425,0.42856,0.21559,1.707,1.95996,1.90172,0.00100687,0.00100687,0.00100687
66,1007.52,1.36727,1.49767,1.53066,0.52105,0.44,0.42921,0.22224,1.70808,1.98097,1.89164,0.000996553,0.000996553,0.000996553
67,1022.02,1.36119,1.44442,1.49591,0.48997,0.425,0.4084,0.21717,1.69904,1.92276,1.91465,0.000986239,0.000986239,0.000986239
68,1036.18,1.40986,1.50141,1.56371,0.60145,0.43,0.43629,0.21711,1.77998,1.94583,1.97049,0.000975924,0.000975924,0.000975924
69,1050.76,1.39765,1.5287,1.55323,0.51898,0.38842,0.39048,0.21382,1.68069,1.94699,1.91314,0.00096561,0.00096561,0.00096561
70,1065.41,1.3985,1.48002,1.55598,0.487,0.395,0.39553,0.20845,1.64818,1.9061,1.85051,0.000955295,0.000955295,0.000955295
71,1080.02,1.3962,1.49433,1.53593,0.55602,0.42581,0.45278,0.23648,1.69519,1.83816,1.87461,0.000944981,0.000944981,0.000944981
72,1094.6,1.32716,1.36751,1.4711,0.52367,0.46,0.44808,0.23514,1.66104,1.82894,1.83716,0.000934666,0.000934666,0.000934666
73,1110.18,1.35698,1.41518,1.52794,0.62811,0.42226,0.42794,0.22793,1.71257,1.95013,1.92769,0.000924352,0.000924352,0.000924352
74,1124.69,1.35831,1.44323,1.55587,0.52376,0.425,0.42986,0.2303,1.65197,1.90337,1.87578,0.000914037,0.000914037,0.000914037
75,1140.13,1.34113,1.39943,1.47577,0.45972,0.47,0.42587,0.22445,1.68173,1.88465,1.83799,0.000903722,0.000903722,0.000903722
76,1154.28,1.33614,1.42974,1.51131,0.53561,0.42099,0.45415,0.22821,1.68312,1.90491,1.87217,0.000893408,0.000893408,0.000893408
77,1169.08,1.32634,1.42037,1.49392,0.53001,0.435,0.46894,0.24837,1.69018,1.77101,1.89335,0.000883093,0.000883093,0.000883093
