epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6758,2.16427,4.5129,2.09329,0.1172,0.21,0.092,0.03529,1.97865,5.06627,2.05726,0.000549352,0.000549352,0.000549352
2,42.5333,1.99084,2.89222,2.02442,0.2358,0.195,0.16255,0.07083,2.19063,3.4848,2.35088,0.00109955,0.00109955,0.00109955
3,61.8664,2.1446,2.78163,2.13246,0.00956,0.24,0.00712,0.00332,2.08138,83.1355,2.45028,0.00164424,0.00164424,0.00164424
4,80.34,2.15968,2.72434,2.08197,0.03036,0.19,0.01472,0.00493,2.53417,36.3416,3.46207,0.00164225,0.00164225,0.00164225
5,99.5121,2.10414,2.58106,2.05201,0.04549,0.345,0.02849,0.01003,2.47876,7.19426,2.94684,0.00163399,0.00163399,0.00163399
6,117.869,2.03284,2.49613,2.02612,0.30541,0.255,0.20103,0.09702,2.00424,2.4385,2.06909,0.00162574,0.00162574,0.00162574
7,137.097,1.99921,2.42785,2.02738,0.25488,0.265,0.16585,0.06325,2.09065,2.66977,2.18541,0.00161749,0.00161749,0.00161749
8,155.699,1.96942,2.45019,1.98198,0.30641,0.25,0.17805,0.07541,1.86129,2.32816,1.96839,0.00160924,0.00160924,0.00160924
9,175,1.94153,2.42079,1.9936,0.3174,0.31,0.25288,0.11736,1.87244,2.18288,1.91733,0.00160099,0.00160099,0.00160099
10,193.654,1.87359,2.29426,1.89673,0.38219,0.325,0.32268,0.16896,1.81548,2.06753,1.87875,0.00159274,0.00159274,0.00159274
11,212.922,1.96304,2.32941,1.9283,0.36958,0.255,0.23104,0.09216,2.02623,2.38867,2.0152,0.00158448,0.00158448,0.00158448
12,231.9,1.92861,2.35984,1.97864,0.32564,0.36,0.28025,0.13653,1.80593,2.15748,1.85662,0.00157623,0.00157623,0.00157623
13,251.087,1.97651,2.33666,1.9412,0.33544,0.32,0.25179,0.11583,1.83859,2.2927,1.7772,0.00156798,0.00156798,0.00156798
14,270.467,1.90918,2.23504,1.89281,0.34938,0.305,0.27523,0.13178,1.86456,2.20526,1.86848,0.00155973,0.00155973,0.00155973
15,289.635,1.90875,2.26179,1.91039,0.40656,0.34,0.3059,0.14138,1.82001,2.21229,1.80768,0.00155148,0.00155148,0.00155148
