epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,817.794,1.54514,1.78181,1.60459,0.51426,0.425,0.42093,0.22169,1.64242,1.87372,1.69742,0.000973861,0.000973861,0.000973861
44,836.436,1.58319,1.85385,1.67116,0.49941,0.335,0.34506,0.18747,1.67063,1.92002,1.71345,0.000957358,0.000957358,0.000957358
45,855.773,1.56077,1.78209,1.64149,0.44246,0.405,0.39053,0.2106,1.65551,1.86156,1.6764,0.000940855,0.000940855,0.000940855
46,874.507,1.49784,1.75805,1.58156,0.44867,0.46,0.43011,0.23216,1.66361,1.75816,1.68113,0.000924352,0.000924352,0.000924352
47,893.776,1.53093,1.71906,1.60137,0.46822,0.40063,0.43066,0.23745,1.6623,1.74761,1.69126,0.000907848,0.000907848,0.000907848
48,912.324,1.50312,1.70939,1.61216,0.43661,0.485,0.4396,0.24601,1.60272,1.72935,1.61508,0.000891345,0.000891345,0.000891345
49,931.843,1.48094,1.65592,1.59089,0.52084,0.44,0.45465,0.24361,1.62668,1.73289,1.65805,0.000874842,0.000874842,0.000874842
50,950.347,1.47923,1.67449,1.55427,0.41748,0.495,0.42166,0.24027,1.65259,1.81171,1.68112,0.000858338,0.000858338,0.000858338
51,969.946,1.46567,1.67596,1.6023,0.48102,0.385,0.39748,0.2177,1.66528,1.81007,1.68486,0.000841835,0.000841835,0.000841835
52,988.447,1.44681,1.57035,1.5378,0.58346,0.44123,0.4643,0.2463,1.67668,1.76183,1.67135,0.000825332,0.000825332,0.000825332
53,1007.85,1.43004,1.55177,1.52361,0.59081,0.425,0.45787,0.23952,1.69869,1.72579,1.69904,0.000808828,0.000808828,0.000808828
54,1026.79,1.4534,1.63877,1.57603,0.522,0.425,0.45442,0.2481,1.69765,1.71285,1.7295,0.000792325,0.000792325,0.000792325
55,1046.1,1.51403,1.62534,1.58022,0.59695,0.4,0.43415,0.23343,1.68621,1.8474,1.73245,0.000775822,0.000775822,0.000775822
56,1064.75,1.43935,1.53372,1.53923,0.52573,0.45,0.44214,0.25383,1.58067,1.66278,1.64527,0.000759318,0.000759318,0.000759318
57,1083.99,1.403,1.51228,1.5157,0.50413,0.47,0.43231,0.22872,1.66351,1.75037,1.71817,0.000742815,0.000742815,0.000742815
58,1102.43,1.4592,1.60175,1.58532,0.53369,0.415,0.42965,0.24158,1.63818,1.71253,1.69053,0.000726312,0.000726312,0.000726312
59,1121.77,1.43666,1.59238,1.56202,0.51439,0.43,0.42793,0.23423,1.61301,1.77872,1.63476,0.000709809,0.000709809,0.000709809
60,1140.16,1.3944,1.49346,1.52789,0.58126,0.40256,0.44227,0.25088,1.63039,1.71811,1.67018,0.000693305,0.000693305,0.000693305
61,1159.46,1.3865,1.53502,1.5012,0.46125,0.45,0.415,0.22592,1.70202,1.77573,1.70446,0.000676802,0.000676802,0.000676802
62,1178.23,1.42099,1.48249,1.52287,0.50634,0.44,0.45494,0.25736,1.61021,1.70511,1.65308,0.000660299,0.000660299,0.000660299
63,1197.05,1.35846,1.4502,1.50853,0.57511,0.40607,0.44198,0.2577,1.59554,1.70957,1.67974,0.000643795,0.000643795,0.000643795
64,1216.12,1.37005,1.44675,1.52607,0.52021,0.455,0.43824,0.24835,1.63926,1.71818,1.69606,0.000627292,0.000627292,0.000627292
65,1234.78,1.34905,1.46652,1.49613,0.62664,0.45317,0.49493,0.28627,1.59757,1.60929,1.66279,0.000610789,0.000610789,0.000610789
66,1253.71,1.41801,1.47471,1.53841,0.68911,0.455,0.49011,0.26001,1.68016,1.64967,1.71769,0.000594286,0.000594286,0.000594286
67,1272.49,1.33119,1.37275,1.45433,0.6132,0.435,0.48233,0.27193,1.63406,1.60898,1.67245,0.000577782,0.000577782,0.000577782
68,1291.25,1.35941,1.42125,1.50306,0.6354,0.48,0.4863,0.27845,1.59628,1.64975,1.67763,0.000561279,0.000561279,0.000561279
69,1310.2,1.30343,1.35508,1.45789,0.51296,0.485,0.45324,0.26309,1.61991,1.64659,1.68821,0.000544776,0.000544776,0.000544776
70,1329.17,1.33396,1.37433,1.48077,0.51602,0.50646,0.4709,0.25221,1.62786,1.65745,1.6624,0.000528272,0.000528272,0.000528272
71,1348.27,1.35365,1.36633,1.47111,0.53968,0.485,0.47864,0.27371,1.60438,1.6003,1.65661,0.000511769,0.000511769,0.000511769
72,1367.5,1.33059,1.39454,1.46611,0.55967,0.45121,0.45309,0.25442,1.676,1.67653,1.6973,0.000495266,0.000495266,0.000495266
73,1385.94,1.31049,1.32004,1.43317,0.56752,0.485,0.46423,0.25477,1.65985,1.63659,1.7097,0.000478762,0.000478762,0.000478762
74,1405.56,1.27792,1.32853,1.41915,0.60117,0.45,0.49023,0.26613,1.639,1.62174,1.685,0.000462259,0.000462259,0.000462259
75,1423.99,1.3029,1.37562,1.45722,0.5635,0.475,0.49173,0.27035,1.58976,1.59722,1.65984,0.000445756,0.000445756,0.000445756
76,1443.37,1.28882,1.30401,1.4438,0.59456,0.43261,0.45624,0.25535,1.61141,1.69929,1.65625,0.000429253,0.000429253,0.000429253
77,1462,1.26,1.26753,1.42313,0.47558,0.46,0.43964,0.24895,1.61821,1.693,1.68457,0.000412749,0.000412749,0.000412749
78,1481.35,1.24334,1.24199,1.44387,0.56766,0.46,0.48486,0.262,1.64261,1.5968,1.70317,0.000396246,0.000396246,0.000396246
79,1499.95,1.26232,1.30307,1.42389,0.55264,0.465,0.48332,0.26048,1.64194,1.61655,1.70638,0.000379743,0.000379743,0.000379743
80,1519.24,1.26727,1.26144,1.42219,0.62141,0.455,0.46081,0.25635,1.61348,1.65681,1.6851,0.000363239,0.000363239,0.000363239
81,1537.68,1.22946,1.26308,1.40145,0.60931,0.46788,0.46961,0.26115,1.61202,1.68128,1.703,0.000346736,0.000346736,0.000346736
82,1557.09,1.26887,1.26155,1.43148,0.58952,0.4524,0.4597,0.26306,1.6497,1.72112,1.69437,0.000330233,0.000330233,0.000330233
83,1575.55,1.24256,1.24,1.39562,0.56318,0.46,0.44721,0.25631,1.65874,1.69345,1.68543,0.000313729,0.000313729,0.000313729
84,1594.96,1.24614,1.29779,1.39776,0.6064,0.43908,0.47688,0.27822,1.60988,1.61301,1.66011,0.000297226,0.000297226,0.000297226
85,1613.27,1.22185,1.17363,1.39773,0.52572,0.505,0.47627,0.27449,1.61155,1.66216,1.67013,0.000280723,0.000280723,0.000280723
86,1632.52,1.22194,1.20822,1.42412,0.50931,0.51,0.45061,0.25674,1.65639,1.67184,1.71014,0.00026422,0.00026422,0.00026422
87,1651.24,1.21223,1.17217,1.39803,0.57535,0.46,0.46855,0.2588,1.67498,1.69255,1.71823,0.000247716,0.000247716,0.000247716
88,1670.51,1.20107,1.17096,1.38138,0.63679,0.43831,0.46813,0.26308,1.62621,1.68411,1.67274,0.000231213,0.000231213,0.000231213
89,1688.98,1.21312,1.17626,1.37792,0.56425,0.47912,0.4814,0.26742,1.60845,1.68688,1.65113,0.00021471,0.00021471,0.00021471
90,1708.58,1.17217,1.17747,1.36045,0.56358,0.515,0.49423,0.27927,1.61369,1.60091,1.65833,0.000198206,0.000198206,0.000198206
91,1727.92,1.12619,1.07812,1.33488,0.56469,0.48645,0.48074,0.26809,1.64326,1.64133,1.67743,0.000181703,0.000181703,0.000181703
92,1747.71,1.11008,1.08697,1.31096,0.55713,0.48433,0.48202,0.27105,1.63264,1.6201,1.68296,0.0001652,0.0001652,0.0001652
93,1766.45,1.11059,1.07217,1.32512,0.60282,0.435,0.4913,0.28098,1.60984,1.60717,1.67231,0.000148696,0.000148696,0.000148696
94,1785.63,1.06416,1.00768,1.27843,0.53693,0.51598,0.49423,0.27747,1.59136,1.62004,1.65482,0.000132193,0.000132193,0.000132193
95,1805.07,1.02798,0.98229,1.26314,0.60155,0.46,0.48379,0.2746,1.60448,1.65541,1.66749,0.00011569,0.00011569,0.00011569
96,1823.99,1.02727,0.94001,1.25643,0.57219,0.45,0.47998,0.27256,1.62412,1.67973,1.67794,9.91865e-05,9.91865e-05,9.91865e-05
97,1843.65,1.03384,0.95616,1.27508,0.60935,0.46015,0.47285,0.26512,1.63569,1.64197,1.70016,8.26832e-05,8.26832e-05,8.26832e-05
98,1862.08,1.05633,0.96812,1.28409,0.62938,0.445,0.47451,0.26625,1.6178,1.62716,1.6851,6.61799e-05,6.61799e-05,6.61799e-05
99,1881.39,1.04185,0.97173,1.26764,0.60541,0.455,0.47898,0.27106,1.64191,1.63176,1.70806,4.96766e-05,4.96766e-05,4.96766e-05
100,1900.12,0.98641,0.90533,1.21694,0.63213,0.44679,0.48504,0.27038,1.65037,1.61719,1.7136,3.31733e-05,3.31733e-05,3.31733e-05
